date,time,symbol,action,price,liquidity_value,w_prev,w_new,dw,trade_value,shares,cashflow,realized_pnl
2010-04-30,month_end,CII,BUY,13.62,14435239.334999999,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,305922.0,-4166657.6399999997,
2010-04-30,month_end,CMC,BUY,27.42,2529415.55,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,151957.0,-4166660.9400000004,
2010-04-30,month_end,CNT,BUY,18.32,4298282.930000001,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,227438.0,-4166664.16,
2010-04-30,month_end,DCS,BUY,33.66,5473811.75,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,123786.0,-4166636.76,
2010-04-30,month_end,HAG,BUY,38.4,23898854.610000003,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,108506.0,-4166630.4,
2010-04-30,month_end,HUT,BUY,13.71,7874480.8,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,303914.0,-4166660.9400000004,
2010-04-30,month_end,KDC,BUY,12.12,2865746.535,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,343784.0,-4166662.0799999996,
2010-04-30,month_end,KKC,BUY,16.85,5062597.05,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,247279.0,-4166651.1500000004,
2010-04-30,month_end,LSS,BUY,12.74,2714865.625,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,327053.0,-4166655.22,
2010-04-30,month_end,MIC,BUY,38.73,1851950.35,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,107582.0,-4166650.86,
2010-04-30,month_end,NTL,BUY,6.94,1052467.1,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,600384.0,-4166664.9600000004,
2010-04-30,month_end,QNC,BUY,22.95,5344997.3,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,181554.0,-4166664.3,
2010-04-30,month_end,SC5,BUY,24.7,11099595.365,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,168690.0,-4166643.0,
2010-04-30,month_end,SD9,BUY,15.53,5083284.15,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,268297.0,-4166652.4099999997,
2010-04-30,month_end,SDT,BUY,9.07,1206537.3,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,459389.0,-4166658.23,
2010-04-30,month_end,SJS,BUY,26.03,22459253.78,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,160071.0,-4166648.1300000004,
2010-04-30,month_end,SSM,BUY,19.04,3801429.05,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,218837.0,-4166656.48,
2010-04-30,month_end,STL,BUY,50.17,15371120.15,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,83050.0,-4166618.5,
2010-04-30,month_end,STP,BUY,8.88,2295244.85,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,469219.0,-4166664.72,
2010-04-30,month_end,VE1,BUY,17.6,2420013.5,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,236742.0,-4166659.2,
2010-04-30,month_end,VGS,BUY,9.54,15656728.35,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,436757.0,-4166661.78,
2010-04-30,month_end,VNS,BUY,5.91,2500289.105,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,705019.0,-4166662.29,
2010-04-30,month_end,VTV,BUY,6.7,1047372.9,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,621890.0,-4166663.0,
2010-04-30,month_end,XMC,BUY,22.36,5135769.65,0.0,0.041666666666666664,0.041666666666666664,4166666.6666666665,186344.0,-4166651.84,
2010-05-31,,CII,SELL,,,0.041666666666666664,0.0,-0.041666666666666664,,,,
2010-05-31,,CMC,SELL,,,0.041666666666666664,0.0,-0.041666666666666664,,,,
